Title,Address,Website,Phone,City
Angie's Waterloo,"47 Erb St W, ON N2L 1S8",angieswaterloo.com,519-954-8500,Waterloo
Angel's Restaurant - Family Restaurant Kitchener,"751 Victoria St S, ON N2M 5N4",angelsfamilyrestaurant.ca,519-581-1158,Kitchener
Oscar's Family Diner & Grill,"835 Victoria St N, ON N2B 3C3",oscarsfamilyrestaurant.ca,519-576-4312,Kitchener
Mel's Diner,"645 Westmount Rd E, ON N2E 2K1",melsdiner.ca,519-579-0572,Kitchener
Sunset Grill,"10 Manitou Dr, ON N2C 2N3",sunsetgrill.ca,519-894-0000,Kitchener
Wildcraft Grill + Long Bar,"425 King St N, ON N2J 2Z5",wildcraft.ca,519-885-0117,Waterloo
Wildcraft Grill + Long Bar,"425 King St N, ON N2J 2Z5",wildcraft.ca,519-885-0117,Waterloo
Huether Hotel,"59 King St N, ON N2J 2X2",huetherhotel.com,519-886-3350,Waterloo
Miga Waterloo Japanese and Korean Restaurant,"94 Bridgeport Rd E #19, ON N2J 2J9",Add website,519-998-9181,Waterloo
Mel's Diner,"140 University Ave W, ON N2L 6J3",melsdiner.ca,519-579-6357,Waterloo
Mambella`s Italian Kitchen Inc.,"160 Columbia St W, ON N2L 3L3",mambellas.com,519-885-2244,Waterloo
Mambella`s Italian Kitchen Inc.,"160 Columbia St W, ON N2L 3L3",mambellas.com,519-885-2244,Waterloo
Casa Rugantino,"709 Belmont Ave W, ON N2M 1P1",casarugantino.ca,519-744-9081,Kitchener
Bao Sandwich Bar,"62 Balsam St B106, ON N2L 3H2",baosandwichbar.com,519-208-1226,Waterloo
Empress Of India,"34 King St S, ON N2J 2X5",empressofindia.ca,519-883-1314,Waterloo
Empress Of India,"34 King St S, ON N2J 2X5",empressofindia.ca,519-883-1314,Waterloo
Rosel's - Authentic Filipino Food,"220 King St N, ON N2J 2Y7",rosels.ca,519-722-7995,Waterloo
KEN Sushi House Phillip Square,"256 Phillip St, ON N2L 6B6",kensushihouse.ca,519-883-7272,Waterloo
Crystal Palace Restaurant,"10 King St S, ON N2J 1N9",selflane.com,519-888-6828,Waterloo
Ennio's Pasta House,"384 King St N, ON N2J 2Z3",enniospasta.ca,519-893-0543,Waterloo
Veslo Family Restaurant,"100 Arnold St, ON N2H 6C9",veslofamilyrestaurant.com,519-744-9292,Kitchener
Johnny Fresco,"244 Weber St N, ON N2J 3H4",johnnyfresco.com,519-772-1122,Waterloo
Kabob Hut,"170 University Ave W, ON N2L 3E9",kabobhutcanada.com,519-880-0606,Waterloo
Rainbow Caribbean Cuisine,"29 King St E, ON N2G 2K4",facebook.com,519-579-2618,Kitchener
Marks Caribbean Kitchen,"20 King St E, ON N2G 2K6",markscaribbeankitchen.ca,519-570-4747,Kitchener
The Caribbean Kitchen Ltd.,"300 King St E, ON N2G 2L3",markscaribbeankitchen.ca,519-568-8292,Kitchener
houseofpatties,"42 Bridgeport Rd E, ON N2J 0B3",houseofpatties.com,226-647-1727,Waterloo
Manitou Takeout,"808 Courtland Ave E, ON N2C 1K3",manitoutakeout.com,519-895-1730,Kitchener
Ellison's Bistro,"14 Charles St W, ON N2G 1H2",ellisonsbistro.com,519-744-2075,Kitchener
Meltwich Food Co. Waterloo,"255 King St N #2, ON N2J 4V2",meltwich.ca,519-208-3040,Waterloo
PUBLIC Kitchen & Bar,"300 Victoria St N, ON N2H 6R7",kwpublic.com,519-954-8111,Kitchener
Wooden Boat Food Company,"20 Hurst Ave Unit #1, ON N2G 2Z7",wbfood.ca,519-489-0123,Kitchener
Wooden Boat Food Company,"20 Hurst Ave Unit #1, ON N2G 2Z7",wbfood.ca,519-489-0123,Kitchener
Exclamation Waterloo,"63 Hickory St W, ON N2L 3H2",exclamationfusion.com,519-954-8866,Waterloo
The Lancaster Smokehouse,"574 Lancaster St W, ON N2K 1M3",lancsmokehouse.com,519-743-4331,Kitchener
The Lancaster Smokehouse,"574 Lancaster St W, ON N2K 1M3",lancsmokehouse.com,519-743-4331,Kitchener
Raja Fine Indian Cuisine,"725 Belmont Ave W, ON N2M 1P3",rajakitchener.ca,519-208-2811,Kitchener
Raja Fine Indian Cuisine,"725 Belmont Ave W, ON N2M 1P3",rajakitchener.ca,519-208-2811,Kitchener
Bogda Restaurant,"62 Balsam St b103, ON N2L 3H2",bogda.ca,519-886-2929,Waterloo
Thai Bistro,"735 Belmont Ave W, ON N2M 1P3",thaibistro.org,519-208-4177,Kitchener
Dairy Queen Grill & Chill,"50 Westmount Rd N, ON N2L 2R5",dairyqueen.com,519-747-2424,Waterloo
Dairy Queen Grill & Chill,"50 Westmount Rd N, ON N2L 2R5",dairyqueen.com,519-747-2424,Waterloo
Shinwa Asian cuisine,"160 University Ave W, ON N2L 3E9",shinwa.ca,519-588-7777,Waterloo
Kim's Kitchen,"258 King St N Unit #2, ON N2J 2Y9",kimskitchenrestaurant.com,519-888-8389,Waterloo
The Cactus Mexican Restaurant,"465 Phillip St, ON N2L 6C7",Add website,519-888-9599,Waterloo
The Grand Trunk Saloon,"30 Ontario St S, ON N2G 1X2",grandtrunksaloon.com,519-578-8282,Kitchener
Kabob Shack,"150 University Ave W Unit 5B, ON N2L 3E4",kabobshack.ca,519-208-0404,Waterloo
Suki Sushi,"347 Erb St W #4, ON N2L 1W4",sukisushiwaterloo.com,519-746-1566,Waterloo
Hungry Ninja,"55 Erb St E, ON N2J 1L7",hungryninja.ca,519-222-6891,Waterloo
Kabob Shack,"150 University Ave W Unit 5B, ON N2L 3E4",kabobshack.ca,519-208-0404,Waterloo
Dearborn Restaurant,"105 Lexington Rd, ON N2J 4R7",business.site,519-746-0321,Waterloo
The Keg Steakhouse + Bar - Waterloo,"42 Northfield Dr E, ON N2L 6A1",kegsteakhouse.com,519-725-4444,Waterloo
Mozy's Shawarma,"247 King St N, ON N2J 2Y8",mozys.ca,519-884-6699,Waterloo
Angel’s On Weber (Waterloo),"190 Weber St N, ON N2J 3H4",angelsfamilyrestaurant.ca,519-885-7203,Waterloo
Darlise Cafe,"33 Queen St S A, ON N2G 1V8",darlisecafe.com,226-647-9100,Kitchener
Two Goblets Restaurant,"22 Ontario St N, ON N2H 4Y4",twogoblets.com,519-749-1829,Kitchener
Kinkaku Izakaya,"217 King St W, ON N2G 1B1",kinkakuizakaya.ca,519-208-2688,Kitchener
Molly Bloom's Irish Pub,"170 University Ave W, ON N2L 3E9",mollyblooms.ca,519-885-0892,Waterloo
Mashawi,"572 King St N, ON N2L 6L3",mashawi.ca,519-880-8008,Waterloo
Mr.Sub,"102 King St N, ON N2J 2X6",mrsub.ca,519-884-7313,Waterloo
TWH Social,"1 King St W, ON N2G 1A3",twhsocial.com,519-745-8478,Kitchener
Milestones,"410 The Boardwalk, ON N2J 3Z4",milestonesrestaurants.com,519-579-4949,Waterloo
Milestones,"410 The Boardwalk, ON N2J 3Z4",milestonesrestaurants.com,519-579-4949,Waterloo
Mediterraneo Family Restaurant,"425 University Ave, ON N2K 4C9",mediterraneokw.com,519-569-8100,Waterloo
Mediterraneo Family Restaurant,"425 University Ave, ON N2K 4C9",mediterraneokw.com,519-569-8100,Waterloo
Arabesque Family Restaurant,"869 Victoria St N, ON N2B 3C3",arabesquecafekw.com,519-954-2212,Kitchener
Charcoal Steak House,"2980 King St E, ON N2A 1A9",charcoalsteakhouse.ca,519-893-6570,Kitchener
Del's Italian Kitchen,"2980 King St E, ON N2A 1A9",delsenoteca.ca,519-893-2911,Kitchener
Nostra Cucina,"31 Manitou Dr, ON N2C 1K9",nostracucina.com,519-748-0504,Kitchener
Rustico Kitchen And Bar,"907 Victoria St N, ON N2B 3C3",rusticokitchen.ca,519-576-6737,Kitchener
Ennio's Pasta House,"655 Fairway Rd S, ON N2C 1X4",enniospasta.ca,519-576-9552,Kitchener
Golf's Steak House & Seafood,"598 Lancaster St W, ON N2K 1M3",golfssteakhouse.com,519-579-4050,Kitchener
Metro Restaurant,"164-168 Victoria St N, ON N2H 5C6",kmetro.ca,519-578-9189,Kitchener
Figaro's Pizza,"90 Weber St N, ON N2J 3G8",figaropizza.ca,519-725-2002,Waterloo
The Crazy Canuck,"845 Weber St N, ON N2J 4G8",thecrazycanuck.ca,519-747-2729,Waterloo
Mimo Thai Kitchen,"104-318 Spruce St, ON N2L 3M7",mimo-thaikitchen.com,226-647-8866,Waterloo
Swine and Vine,"295 Lancaster St W, ON N2H 6H6",swineandvine.ca,226-476-4418,Kitchener
Queen Shawarma & Kabab,"93 Ontario St S, ON N2G 1X5",m.facebook.com,519-742-2023,Kitchener
Sakura Island Japanese,"255 King St N, ON N2J 4V2",sakuraislandrestaurant.com,519-886-1812,Waterloo
Sakura Island Japanese,"255 King St N, ON N2J 4V2",sakuraislandrestaurant.com,519-886-1812,Waterloo
King Tin Restaurant,"318 Spruce St, ON N2L 3M7",selflane.com,519-885-4716,Waterloo
Smoke's Poutinerie Waterloo,"255 King St N #15, ON N2J 4V2",smokespoutinerie.com,519-888-7665,Waterloo
Waterloo Red Ginger Modern Thai + Viet Cuisine,"646 Erb St W, ON N2T 0A8",kwredginger.com,519-880-8686,Waterloo
Sonny's,"256 Weber St N, ON N2J 3H7",sonnysdrivein.com,519-884-1750,Waterloo
Sonny's,"256 Weber St N, ON N2J 3H7",sonnysdrivein.com,519-884-1750,Waterloo
Urwa's Pakistani and Indian Cuisine,"402 King St N, ON N2J 2Z3",urwarestaurant.com,519-954-6600,Waterloo
Bridge Street Kitchen,"373 Bridge St W, ON N2K 3K3",facebook.com,519-886-3080,Waterloo
China Garden Restaurant 食德喜,"31 University Ave, ON N2J 2A2",chinagardenwaterloo.com,519-888-0088,Waterloo
Cameron Chinese Restaurant,"19 Cameron St S, ON N2G 3N1",cameronrestaurant.ca,519-576-3030,Kitchener
Chopan Kabob Restaurant,"200 Highland Rd W, ON N2M 3C2",chopan-kabob.square.site,519-954-5144,Kitchener
Cafe Pyrus,"305 King St W #101, ON N2G 1B7",cafepyrus.com,519-954-7705,Kitchener
Darlise Cafe,"33 Queen St S A, ON N2G 1V8",darlisecafe.com,226-647-9100,Kitchener
The Yeti Cafe,"14 Eby St N, ON N2H 2V6",theyeticafe.com,519-744-4643,Kitchener
Cafe O,"901 Victoria St N, ON N2B 3C3",roastedcoffeebeans.ca,519-279-8903,Kitchener
Aroma Cafe,"33 Erb St W, ON N2L 1S8",aromacafewaterloo.ca,519-884-0411,Waterloo
Levetto Waterloo,"105 Oak Park Dr, ON N2K 0B3",levetto.com,519-884-5555,Waterloo
Levetto Waterloo,"105 Oak Park Dr, ON N2K 0B3",levetto.com,519-884-5555,Waterloo
East Side Mario's Waterloo (King),"450 King St N, ON N2J 2Z6",eastsidemarios.com,519-886-8388,Waterloo
iPotato,"170 University Ave W Unit 21, ON N2L 3E9",Add website,519-885-4966,Waterloo
Granny Bonn's Fish & Chips,"90 Weber St N, ON N2J 3G9",Add website,519-885-5650,Waterloo
Ace Shawarma & Burgers,"82 King St W, ON N2G 1A6",aceshawarma.com,519-742-0123,Kitchener
King Fish & Chips,"967 King St E, ON N2G 2N1",Add website,519-579-4400,Kitchener
Jimmy's Lunch,"297 Victoria St N, ON N2H 5E2",Add website,519-743-4945,Kitchener
Angel's Restaurant - Family Restaurant Kitchener,"751 Victoria St S, ON N2M 5N4",angelsfamilyrestaurant.ca,519-581-1158,Kitchener
Angel's Restaurant - Family Restaurant Kitchener,"751 Victoria St S, ON N2M 5N4",angelsfamilyrestaurant.ca,519-581-1158,Kitchener
Fresh Burrito,"170 University Ave W Unit 31, ON N2L 3E9",freshburrito.ca,226-647-6878,Waterloo
ALMADINA Woodstone Oven & Grill,"2 The Boardwalk #330, ON N2T 0A6",almadinacuisine.com,519-603-8111,Waterloo
Jack's Family Restaurant,"20 Benjamin Rd, ON N2V 2J9",jacksfamilyrestaurant.ca,519-746-4800,Waterloo
Phillips Shawarma,"465 Phillip St, ON N2L 6C7",phillipsshawarma.com,519-880-0303,Waterloo
meetpoint,"1 The Boardwalk #400, ON N2T 0A6",meetpoint.ca,519-570-0344,Waterloo
WingsUp! Waterloo,"65 University Ave E, ON N2J 2V8",wingsup.com,519-725-5252,Waterloo
Nostra Cucina,"31 Manitou Dr, ON N2C 1K9",nostracucina.com,519-748-0504,Kitchener
Ming's Chinese Restaurant,"465 Phillip St, ON N2L 6C7",Add website,519-888-7460,Waterloo
East African Cafe,"50 Ontario St S, ON N2G 1X5",eastafricancafe.com,519-342-0216,Kitchener
Muya Restaurant,"215 Highland Rd W, ON N2M 3C1",muyarestaurant.com,519-208-8588,Kitchener
A M Africa Restaurant,"1472 King St E, ON N2G 2N8",Add website,519-576-0313,Kitchener
Galitos Flame Grilled Chicken,"29 King St E, ON N2G 2H5",galitoschicken.com,519-741-5791,Kitchener
Muya Restaurant,"215 Highland Rd W, ON N2M 3C1",muyarestaurant.com,519-208-8588,Kitchener
Star Wok,"94 Bridgeport Rd E, ON N2J 2J9",starwok.ca,519-886-1688,Waterloo
Aunty's Kitchen - Waterloo,"160 University Ave W, ON N2L 3E9",order.incentivio.com,519-954-5633,Waterloo
Rainbow Caribbean Cuisine,"29 King St E, ON N2G 2K4",facebook.com,519-579-2618,Kitchener
Rainbow Caribbean Cuisine,"29 King St E, ON N2G 2K4",facebook.com,519-579-2618,Kitchener
Martin’s Restaurant,"139 Father David Bauer Dr, ON N2L 6M1",luthervillage.org,519-783-3710,Waterloo
The Round Table Board Game Cafe Waterloo,"280 Lester St #105, ON N2L 0G2",waterloo.roundtablekingdom.com,519-954-2264,Waterloo
The Round Table Board Game Cafe Waterloo,"280 Lester St #105, ON N2L 0G2",waterloo.roundtablekingdom.com,519-954-2264,Waterloo
Kismet Restaurant,"160 University Ave W Unit 20, ON N2L 3E9",kismetwaterloo.com,519-746-8788,Waterloo
Breakfast Blues & BBQs,"105 Victoria St S, ON N2G 2B4",breakfastblues-bbqs.ca,519-954-2277,Kitchener
St. George Restaurant,"665 King St N, ON N2V 1B4",Add website,519-729-0020,Waterloo
Wild Wing,"321 Weber St N #1, ON N2J 3H8",wildwingrestaurants.com,519-884-9454,Waterloo
Daily Grill Restaurant,"615 Davenport Rd, ON N2V 2G2",dailygrill.ca,519-886-4752,Waterloo
Concordia Club,"429 Ottawa St S, ON N2M 3P6",concordiaclub.ca,519-745-5617,Kitchener
Shiri's Kitchen,"169 Lexington Ct unit # D, ON N2G 4R4",shiris-kitchen.square.site,519-513-2217,Waterloo
Montana's,"310 The Boardwalk, ON N2T 0A6",montanas.ca,519-576-1212,Waterloo
Rustico Kitchen And Bar,"907 Victoria St N, ON N2B 3C3",rusticokitchen.ca,519-576-6737,Kitchener
Teremok Cafe,"55 Erb St E, ON N2J 1L7",Add website,519-885-0025,Waterloo
Pierogi House,"655 Parkside Dr #4, ON N2L 0C7",pierogihouse.ca,519-954-2226,Waterloo
Papa John's Pizza,"600 Fairway Rd S, ON N2C 1X3",locations.papajohns.com,519-894-7272,Kitchener
Pisa Pizzeria,"1144 Courtland Ave E #7, ON N2C 2H5",pisapizzeria.ca,519-576-7070,Kitchener
Supreme 2 For 1 Pizza And Wings,"157 King St E, ON N2G 2K8",supreme2for1.com,519-578-4888,Kitchener
Double Double Pizza & Chicken,"153 King St W, ON N2G 1A7",doubledouble.ca,519-342-0701,Kitchener
Pizza Express,"248 Stirling Ave S, ON N2G 3M9",mypizzaexpress.ca,519-742-2274,Kitchener
Papa John's Pizza,"220 King St N, ON N2J 2Y7",papajohns.ca,519-208-7272,Waterloo
Korean BBQ Restaurant,"265 King St E, ON N2G 4N4",koreabbq.wixsite.com,519-568-7111,Kitchener
Korean BBQ Restaurant,"265 King St E, ON N2G 4N4",koreabbq.wixsite.com,519-568-7111,Kitchener
The Healthy Owl Bakery Cafe,"620 Davenport Rd Unit #15, ON N2V 2C2",thehealthyowl.ca,519-888-8265,Waterloo
Tim Hortons,"94 Bridgeport Rd E, ON N2J 2J9",timhortons.ca,519-746-6804,Waterloo
Classic Indian Restaurant,"10 Wyman Rd, ON N2V 1K7",classicindiancuisine.com,519-746-1976,Waterloo
Classic Indian Restaurant,"10 Wyman Rd, ON N2V 1K7",classicindiancuisine.com,519-746-1976,Waterloo
Vivo Pizza + Pasta,"655 Parkside Dr, ON N2L 5E7",vivopizzapasta.ca,519-781-8486,Waterloo
Crabby Joe's Bar • Grill,"65 University Ave, ON N2J 2V9",crabbyjoes.com,519-725-9041,Waterloo
Swiss Chalet,"267 Weber St N, ON N2J 3H8",Add website,519-884-9410,Waterloo
Mel's Diner,"645 Westmount Rd E, ON N2E 2K1",melsdiner.ca,519-579-0572,Kitchener
Koh-I-Noor Indian Restaurant,"465 Phillip St, ON N2L 6C7",kohinoor-restaurant.ca,519-888-0455,Waterloo
Martini's Bar & Patio,"2980 King St E, ON N2A 1A9",martinisbar.ca,519-893-6570,Kitchener
Charcoal Steak House,"2980 King St E, ON N2A 1A9",charcoalsteakhouse.ca,519-893-6570,Kitchener
Del's Italian Kitchen,"2980 King St E, ON N2A 1A9",delsenoteca.ca,519-893-2911,Kitchener
Sowon Korea Dining,"170 University Ave W, ON N2L 3E9",Add website,519-208-5678,Waterloo
Montana's,"740 Ottawa St S, ON N2E 3H5",Add website,519-579-0524,Kitchener
Algarve Restaurant,"248 Stirling Ave S, ON N2G 4L1",facebook.com,519-741-5030,Kitchener
Nisha's Kitchen,"200 Lorraine Ave, ON N2B 3R3",nishaskitchen.ca,519-208-0142,Kitchener
Sahar's Kitchen,"183 King St E, ON N2G 2K8",saharskitchen.com,226-647-0168,Kitchener
Vijay's Indian Cuisine,"380 Weber St W, ON N2H 4B3",curry123.com,519-743-6060,Kitchener
Raja Fine Indian Cuisine,"725 Belmont Ave W, ON N2M 1P3",rajakitchener.ca,519-208-2811,Kitchener
Vijay's Indian Cuisine,"380 Weber St W, ON N2H 4B3",curry123.com,519-743-6060,Kitchener
Sunset Grill,"584 Weber St N, ON N2V 1K4",sunsetgrill.ca,519-746-4444,Waterloo
Sandy's Kitchen Chinese Cuisine,"105 Oak Park Dr Unit 6, ON N2K 0B3",facebook.com,519-884-8929,Waterloo
StrykerZ Kitchen and Bar,"120 Ottawa St N, ON N2H 3K5",Add website,519-208-4888,Kitchener
The Bent Elbow,"2880 King St E, ON N2A 1A7",thebentelbow.ca,519-208-0202,Kitchener
The Bent Elbow,"2880 King St E, ON N2A 1A7",thebentelbow.ca,519-208-0202,Kitchener
Wok Wagon Express,"450 Columbia St W, ON N2T 2W1",wokwagon.com,519-888-9818,Waterloo
小锅兒 Lil' Pot,"G1 - 220 King St N N2J 3Y7, ON N2J 2Y7",lilpot.ca,519-954-8666,Waterloo
The Chopped Leaf,"36 Northfield Dr E #10, ON N2V 2G2",choppedleaf.ca,519-772-0296,Waterloo
Grill House,"1-825 Weber St E, ON N2H 1H5",facebook.com,519-744-7455,Kitchener
Tim Hortons,"109 King St N, ON N2J 2X5",timhortons.ca,519-884-6774,Waterloo
Sunset Grill,"235 Ira Needles Blvd, ON N2N 0B5",sunsetgrill.ca,519-578-1124,Kitchener
Sunset Grill,"235 Ira Needles Blvd, ON N2N 0B5",sunsetgrill.ca,519-578-1124,Kitchener
The Duke of Wellington,"33 Erb St W, ON N2L 1S8",dukeofwellingtonpubs.com,519-886-9370,Waterloo
Kelseys Original Roadhouse,"576 King St N, ON N2L 6L3",kelseys.ca,519-772-1983,Waterloo
Freshii,"646 Erb St W, ON N2T 2K8",freshii.com,226-646-4562,Waterloo
Asakusa,"150 University Ave W, ON N2L 6J3",asakusaramen.ca,519-580-6666,Waterloo
Hong Kong Seafood Restaurant,"700 Strasburg Rd, ON N2E 2M2",hksr.ca,519-743-2900,Kitchener
Martini's Bar & Patio,"2980 King St E, ON N2A 1A9",martinisbar.ca,519-893-6570,Kitchener
Borealis Grille & Bar (Kitchener),"4336 King St E, ON N2P 3W6",borealisgrille.ca,519-219-9007,Kitchener
Borealis Grille & Bar (Kitchener),"4336 King St E, ON N2P 3W6",borealisgrille.ca,519-219-9007,Kitchener
Chen's Restaurant,"170 University Ave W, ON N2L 3G1",bbs.uwcssa.com,519-884-9836,Waterloo
Chen's Restaurant,"170 University Ave W, ON N2L 3G1",bbs.uwcssa.com,519-884-9836,Waterloo
Ennio's Pasta House,"655 Fairway Rd S, ON N2C 1X4",enniospasta.ca,519-576-9552,Kitchener
Bangkok Cuisine,"1500 Weber St E, ON N2A 2Y5",bkcuisine.ca,519-748-7676,Kitchener
Moxie's Grill & Bar,"385 Fairway Rd S, ON N2C 2N9",moxies.com,519-208-4488,Kitchener
Moxie's Grill & Bar,"385 Fairway Rd S, ON N2C 2N9",moxies.com,519-208-4488,Kitchener
Red Lobster,"1732 King St E, ON N2G 2P1",redlobster.ca,519-743-1430,Kitchener
Fratello Pizza,"84 King St N, ON N2J 2X4",fratello-pizza.com,519-886-7278,Waterloo
Fratello Pizza,"84 King St N, ON N2J 2X4",fratello-pizza.com,519-886-7278,Waterloo
Pho Dau Bo Restaurant,"685 Fischer-Hallman Rd G, ON N2E 4E9",kitchener.phodaubo.net,519-576-9996,Kitchener
Lazeez Shawarma,"255 King St N #14, ON N2J 4V2",lazeezshawarma.com,519-954-8302,Waterloo
Maestro's Pizza,"370 Eastbridge Blvd, ON N2K 3Z1",maestrospizzawaterloo.com,519-888-6662,Waterloo
Maestro's Pizza,"370 Eastbridge Blvd, ON N2K 3Z1",maestrospizzawaterloo.com,519-888-6662,Waterloo
Subway,"94 Bridgeport Rd E Unit A1132, ON M2J 2J9",restaurants.subway.com,519-746-6223,Waterloo
Five Star Shawarma & Pizza,"585 Weber St N Unit 4, ON N2V 1V8",fivestarps.square.site,519-880-0544,Waterloo
Moose Winooski's,"20 Heldmann Rd, ON N2P 2J1",moosewinooskis.com,519-653-9660,Kitchener
Kam Yin Chinese Restaurant,"450 Erb St W Unit 13, ON N2T 1Y7",kamyinrestaurant.com,519-746-1903,Waterloo
Freshii,"584 Weber St N #4, ON N2V 1K4",freshii.com,226-646-0610,Waterloo
Harvey's,"75 University Ave W, ON N2L 3C5",harveys.ca,519-884-0710,Waterloo
Papa John's Pizza,"220 King St N, ON N2J 2Y7",papajohns.ca,519-208-7272,Waterloo
Pizza Pizza,"496 Albert St, ON N2L 6J8",pizzapizza.ca,519-747-1111,Waterloo
Twice The Deal Pizza,"402 King St N, ON N2J 2Z3",twicethedealpizza.com,519-884-8000,Waterloo
City Pizza,"628 King St N, ON N2V 1B4",thecitypizza.ca,519-725-6868,Waterloo
Potzone Hot Pot 水城火锅,"2 King St N Unit 4&5, ON N2J 2W7",Add website,226-780-5788,Waterloo
Osmow’s Shawarma,"628 King St N, ON N2V 1B4",mrosmow.com,519-885-7669,Waterloo
Aqua Lounge & Restaurant,"105 King St E, ON N2G 2K8",kw-restaurants.com,519-569-4592,Kitchener
Vita Lounge and Bistro,"1458 Weber St E, ON N2A 2Y5",vitaloungeandbistro.com,519-954-8482,Kitchener
Goen Japanese Restaurant,"55 Northfield Dr E, ON N2K 3T6",squarespace.com,519-888-9006,Waterloo
Pho Ben Thanh Restaurant,"36 Northfield Dr E Unit 1, ON N2L 6A1",benthanhwaterloo.ca,519-880-9788,Waterloo
Vandijk's Fish and Chips,"878 Weber St N, ON N2J 4G8",Add website,519-570-9132,Waterloo
KW Empanadas,"195 King St E #5, ON N2G 2K8",kwempanadas.com,519-807-8353,Kitchener
